,listing_id,id,review_date,reviewer_id,reviewer_name,comments,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,review_year,review_month,review_day
310312,16655366,126733956,2017-01-14,48573786,Namir,"Damien et sa compagne sont très accueillants. Le logement est spacieux et bien équipé, avec une vue magnifique sur le lac. Tout était super!",Chambre cosy centre ville WiFi,53256841,Damien,Lausanne,Lausanne,46.52382201049152,6.625892232361384,Private room,49,2017,01,14
310316,16655366,127300066,2017-01-17,76274565,Carolyn,Chambre fonctionnelle très bien située. Hôtes disponibles et sympathiques,Chambre cosy centre ville WiFi,53256841,Damien,Lausanne,Lausanne,46.52382201049152,6.625892232361384,Private room,49,2017,01,17
310977,16720199,404484652,2019-01-24,121503081,Helene,"Complètement conforme à l'annonce. Propreté, salle d'eau ""privée"". Très bon accueil d'Anne Claude.",Chambre de Rêves * * *,108320524,Anne-Claude,Jura-Nord vaudois,Grandson,46.79807,6.62542,Private room,55,2019,01,24
311027,16720199,593234440,2020-01-15,292843859,Christian,A sparkling clean flat with lake view and all the necessities for a great stay. Thanks Anne-Claude for the great Stay!,Chambre de Rêves * * *,108320524,Anne-Claude,Jura-Nord vaudois,Grandson,46.79807,6.62542,Private room,55,2020,01,15
311037,16720199,599161969,2020-01-29,165330954,Lionel,"Je recommande fortement cette adresse. Propreté, confort, SDB privative. Et en plus hôte super sympathique !!!",Chambre de Rêves * * *,108320524,Anne-Claude,Jura-Nord vaudois,Grandson,46.79807,6.62542,Private room,55,2020,01,29
311355,16728692,596993596,2020-01-24,22151563,Michael,"Sufficient place to stay for 2 weeks.  Very good location and the shared washer and dryer were great.  The common area smells strongly of cigarettes and I was awoken every night by loud pounding noises from upstairs that seemed to last for hours.  

The host was responsive and the check-in process was easy.","Gare de Lausanne 1,5 pièces",27203410,Maxime & Sandra,Lausanne,Lausanne,46.51627,6.63052,Entire home/apt,90,2020,01,24
311785,16730691,127689949,2017-01-20,108999666,Audwin,Great,Big private room near Lausanne,10671966,Gabriele,Ouest lausannois,Renens (Vaud),46.53914,6.579910000000001,Private room,55,2017,01,20
312145,16730691,597782145,2020-01-26,60489819,Daria,"Very convenient location (close to the SBB train station, metro and lots of buses), quiet neighbors, big room and a great host. Staying at Gabriele's place was very pleasant and relaxed — almost like at home. Even though we didn't see him much, he was always available to answer any of our questions or help us with anything!",Big private room near Lausanne,10671966,Gabriele,Ouest lausannois,Renens (Vaud),46.53914,6.579910000000001,Private room,55,2020,01,26
312185,16733882,127125870,2017-01-16,82837446,Iker,"J'ai passé un agréable moment, mon accueil a été remarquable ! Je vous remercie encore de vous être si bien occupé de moi. Au plaisir de vous revoir :-)",Jolie chambre cosy / Nice cosy bedroom,110966357,Ava,Nyon,Nyon,46.38055,6.2188300000000005,Private room,90,2017,01,16
312195,16733882,128065491,2017-01-22,112131961,Pavla,The host canceled this reservation 47 days before arrival. This is an automated posting.,Jolie chambre cosy / Nice cosy bedroom,110966357,Ava,Nyon,Nyon,46.38055,6.2188300000000005,Private room,90,2017,01,22
312588,16740345,223528544,2018-01-01,104149938,Helia,"Molt ben situat. Edifici molt tranquil. Apartament comfortable, la llàstima es que no esta permès cuinar. L’amfitrió es molt amable.",Cosy flat in city centre - Lausanne / EPFL,40734660,Jon,Ouest lausannois,Chavannes-près-Renens,46.53528099356645,6.577149694678727,Entire home/apt,70,2018,01,01
312591,16740345,225113852,2018-01-05,95325705,Mathieu,"Jonathan est accueillant et avenant, son studio très propre. À vérifier si la situation et l’équipement conviennent et suffisent.",Cosy flat in city centre - Lausanne / EPFL,40734660,Jon,Ouest lausannois,Chavannes-près-Renens,46.53528099356645,6.577149694678727,Entire home/apt,70,2018,01,05
312594,16740345,228575766,2018-01-20,162805494,David,"Jonathan is a great host, very friendly and knowledgeable about the area including shopping places and transport, and always responded very quickly to messages. The flat is ideally located for travel to both the center of Lausanne (about 20min by metro) and getting to the EPFL (about 6min by metro), and is clean, tidy, and cosy. I would definitely stay here again!",Cosy flat in city centre - Lausanne / EPFL,40734660,Jon,Ouest lausannois,Chavannes-près-Renens,46.53528099356645,6.577149694678727,Entire home/apt,70,2018,01,20
312597,16740345,229406125,2018-01-23,2203546,Kevin,"Jonathan is a wonderful host. Quick response, really cared about sharing with me and making sure that I was comfortable. The apartment is modern, small and very neat and clean. Very quiet, quite close to the EPFL and Unil. About 15 minute train to Lausanne, 20 minute by bus/tram. Queen size bed, SOFT pillows = happy guest!",Cosy flat in city centre - Lausanne / EPFL,40734660,Jon,Ouest lausannois,Chavannes-près-Renens,46.53528099356645,6.577149694678727,Entire home/apt,70,2018,01,23
312600,16740345,231256787,2018-01-31,74652168,Pablo,"Petit studio à deux pas de la gare. Très propre, rien à redire.",Cosy flat in city centre - Lausanne / EPFL,40734660,Jon,Ouest lausannois,Chavannes-près-Renens,46.53528099356645,6.577149694678727,Entire home/apt,70,2018,01,31
313291,16756109,365259067,2019-01-01,80746781,Chantal,"Eine wunderschöne Wohnung mit traumhaften Ausblick und Sonnenuntergang.
Wir hatten einen sehr schönen Aufenthalt bei den lieben Gastgebern Daniele und Christian.
In der Wohnung wurde an wirklich alles gedacht. Uns hat nichts gefehlt und wir waren vollkommen zufrieden und würden hier wieder buchen.",INDEPENDANT ANNEX - A living space of 90 m²,111189243,Danièle,Lavaux-Oron,Belmont-sur-Lausanne,46.52347,6.68421,Entire home/apt,160,2019,01,01
313301,16756109,402391842,2019-01-18,39012069,Raphaela,"Tout était parfait, comme toujours. Merci beaucoup!",INDEPENDANT ANNEX - A living space of 90 m²,111189243,Danièle,Lavaux-Oron,Belmont-sur-Lausanne,46.52347,6.68421,Entire home/apt,160,2019,01,18
313311,16756109,404760994,2019-01-25,39012069,Raphaela,Great place and Danièle is very sweet and welcoming. I feel right at home here every time I stay here,INDEPENDANT ANNEX - A living space of 90 m²,111189243,Danièle,Lavaux-Oron,Belmont-sur-Lausanne,46.52347,6.68421,Entire home/apt,160,2019,01,25
313881,16772348,587593980,2020-01-03,80905479,Philippe,L'appartement est très bien situé à 500m de toute commodité. La literie est parfaite et l'appartement très propre. Maxime et Sandra sont  très reactifs. Je vous les conseille fortement.,"Studio Valentin , centre ville",27203410,Maxime & Sandra,Lausanne,Lausanne,46.52883,6.631460000000001,Entire home/apt,75,2020,01,03
313891,16772348,591076691,2020-01-10,246763702,Erica,parfait !,"Studio Valentin , centre ville",27203410,Maxime & Sandra,Lausanne,Lausanne,46.52883,6.631460000000001,Entire home/apt,75,2020,01,10
313901,16772348,593864930,2020-01-17,76827576,Dan And Catherine,I really enjoyed staying in this sparkling clean and stylish studio. It was nice to have the refrigerator and kitchen area to cook small meals. The place was small but comfortable and located in a quiet neighborhood with free parking and also convenient 10 minute walking access to center of town (on a hilly road) and on the city bus route if you don't have a car.  I would definitely recommend and stay there again on future trips.,"Studio Valentin , centre ville",27203410,Maxime & Sandra,Lausanne,Lausanne,46.52883,6.631460000000001,Entire home/apt,75,2020,01,17
314401,16774446,369342429,2019-01-10,143105425,Samir,Accueil chaleureux de la part de ce couple. Je recommande a tout voyageur venant sur Avenches de réserver à cette adresse . J’ai passé un moment unique de détente et de tranquillité.merci à Martine et Oliver,Chambre au centre d'Avenches,111382928,Martine & Oliver,Broye-Vully,Avenches,46.87797,7.039810000000001,Private room,55,2019,01,10
314411,16774446,400843195,2019-01-13,47769213,Peter,"sehr freundliches junges Paar im Herzen von Avenches! Spricht gut Deutsch und natürlich Französisch

sehr gerne wieder",Chambre au centre d'Avenches,111382928,Martine & Oliver,Broye-Vully,Avenches,46.87797,7.039810000000001,Private room,55,2019,01,13
314621,16779191,127876603,2017-01-21,80865691,Gerard,The host canceled this reservation 2 days before arrival. This is an automated posting.,Private room and bathroom Lausanne,50517612,Katia,Lausanne,Lausanne,46.53326,6.63258,Private room,49,2017,01,21
314881,16779191,406827131,2019-01-31,231088290,Gabriel,"Appartment was very nice and calm, would definetely recommend again! Everything I needed was supplied and a sheet with all infos about the city, wifi passcode, etc. was provided at the beginning. A great experience.",Private room and bathroom Lausanne,50517612,Katia,Lausanne,Lausanne,46.53326,6.63258,Private room,49,2019,01,31
